Miasto;Ludnosc
Wolbrom;8686
Jastrowie;8662
Kalety;8627
Opole Lubelskie;8605
Wieruszow;8600
Poreba;8581
Suchedniow;8478
zychlin;8288
Polaniec;8181
Polczyn-Zdroj;8181
Tluszcz;8127
Pniewy;8037
Chocianow;7996
Mszana Dolna;7982
Pelplin;7912
Lidzbark;7900
Witkowo;7873
Zwolen;7855
Kornik;7793
Trzemeszno;7752
Praszka;7724
Nasielsk;7701
Olsztynek;7677
Zelow;7665
Paczkow;7600
Poddebice;7530
Sedziszow Malopolski;7524
Barcin;7516
Barczewo;7472
Brzozow;7471
Chojna;7440
Miasteczko slaskie;7419
Siechnice;7410
Tuszyn;7293
Zbaszyn;7265
Zawadzkie;7250
Gniewkowo;7202
Pieszyce;7170
Czaplinek;7155
Skarszewy;7103
losice;7096
Slawkow;7040
Bialobrzegi;7015
Sobotka;6951
lazy;6882
lochow;6848
Katy Wroclawskie;6846
Witnica;6821
zarow;6811
Pajeczno;6792
Gniew;6791
Twardogora;6784
Rudnik nad Sanem;6728
Tuchow;6693
Gryfow slaski;6684
Szklarska Poreba;6681
zukowo;6677
Sianow;6666
Gogolin;6640
Sulkowice;6614
Belzyce;6608
Rzepin;6590
Kozmin Wielkopolski;6590
Klodawa;6530
Opatow;6516
Sedziszow;6494
Pilawa Gorna;6479
zmigrod;6472
Mszczonow;6433
Gluszyca;6431
Niemodlin;6431
Glogow Malopolski;6431
Dobczyce;6425
Polanica-Zdroj;6381
Piechowice;6314
Sulejow;6226
Krzyz Wielkopolski;6222
Przemkow;6217
Dynow;6146
Lubawka;6106
Boguchwala;6096
Buk;6096
Grybow;6089
Proszowice;6088
Kietrz;6061
Sierakow;6046
Koniecpol;6002
Wielen;5988
Czarne;5983
Nowa Sarzyna;5970
Wiecbork;5969
Wolczyn;5958
Steszew;5952
Dzialoszyn;5950
Karlino;5950
Przysucha;5934
Piwniczna-Zdroj;5925
Makow Podhalanski;5919
Nowe;5913
Piensk;5866
Choroszcz;5834
Szczawnica;5807
Lewin Brzeski;5774
Jedlicze;5761
Stronie slaskie;5755
Staporkow;5754
Pakosc;5744
smigiel;5719
Strzelno;5701
Szczyrk;5699
Ladek-Zdroj;5685
scinawa;5677
Szczawno-Zdroj;5650
Radziejow;5638
Dabrowa Bialostocka;5632
Kazimierza Wielka;5619
Orzysz;5615
Glogowek;5607
Terespol;5594
Lipsko;5592
Susz;5586
Lesko;5532
Siewierz;5520
Sejny;5472
Miedzyzdroje;5422
Dzierzgon;5413
Kuznia Raciborska;5402
Jordanow;5362
Radymno;5335
Czempin;5296
Szczytna;5242
Brusy;5209
Nowogrod Bobrzanski;5172
Jaworzyna slaska;5164
Wyrzysk;5163
Odolanow;5155
Debrzno;5152
Szczebrzeszyn;5117
Zagorz;5105
Bolkow;5047
Zbaszynek;5042
Borne Sulinowo;4984
Bychawa;4976
Otmuchow;4946
Bierutow;4935
Muszyna;4909
Pilzno;4892
Jedlina-Zdroj;4887
laskarzew;4879
Wolin;4842
Ilza;4832
Nowe Skalmierzyce;4798
Duszniki-Zdroj;4728
Karpacz;4711
Kcynia;4678
Brzesc Kujawski;4660
Ciechanowiec;4655
Biecz;4629
Suprasl;4621
Reszel;4615
Ozarow;4594
Ruciane-Nida;4579
Pilawa;4557
Kalwaria Zebrzydowska;4551
Zduny;4543
zarki;4539
Lesna;4532
labiszyn;4501
Golina;4493
Piotrkow Kujawski;4490
Krzepice;4488
Raciaz;4437
Krosniewice;4426
Checiny;4421
Kalisz Pomorski;4399
Rejowiec Fabryczny;4396
Mrocza;4395
Wozniki;4393
Skaryszew;4375
Bytom Odrzanski;4365
Slomniki;4359
Serock;4353
Jasien;4348
Olszyna;4347
Korsze;4346
Skoki;4314
Ogrodzieniec;4313
Slawa;4311
Krobia;4304
Szamocin;4302
Resko;4255
zabno;4248
Nowogrodziec;4244
Zawidow;4232
Kleczew;4212
swieradow-Zdroj;4209
Nowy Staw;4196
Kowalewo Pomorskie;4192
Szczucin;4163
Mieroszow;4147
Sokolow Malopolski;4133
Gabin;4127
Tarczyn;4105
Czerwiensk;4094
Bobolice;4061
Biala Piska;4041
Gorowo Ilaweckie;4021
Janowiec Wielkopolski;4016
Ploty;3995
zelechow;3994
Lipiany;3982
Ilowa;3947
Mirsk;3938
Okonek;3929
Babimost;3923
Osno Lubuskie;3911
Podkowa Lesna;3875
Drzewica;3865
Mikolajki;3852
Nowe Miasto nad Pilica;3830
Malogoszcz;3809
Tyczyn;3805
Rymanow;3792
Bransk;3785
Jablonowo Pomorskie;3782
Pruchnik;3772
Skala;3770
Kargowa;3766
Chmielnik;3752
Naleczow;3750
Dobrodzien;3749
Barwice;3742
Ujscie;3738
Opatowek;3723
Nekla;3719
Halinow;3718
Wojcieszow;3696
Strumien;3696
leba;3694
Zator;3691
Mieszkowice;3681
Szczekociny;3679
Krajenka;3678
Byczyna;3651
Prochowice;3646
Kepice;3646
Przedborz;3615
Skorcz;3609
Skepe;3607
Toszek;3596
Miloslaw;3589
Sompolno;3587
Mrozy;3576
Rakoniewice;3571
Kowal;3544
Malomice;3512
Strykow;3493
Szczuczyn;3426
Myszyniec;3397
Tarnogrod;3395
Rzgow;3385
Alwernia;3380
Hel;3373
Wojnicz;3365
Zloczew;3351
Kock;3342
Maszewo;3342
Kolonowskie;3324
Tuliszkow;3322
lasin;3320
Golancz;3294
Miejska Gorka;3261
Warta;3258
Jeziorany;3258
Kobylin;3256
Zwierzyniec;3235
Zakroczym;3211
Biala Rawska;3206
Chociwel;3183
Kanczuga;3182
Radomysl Wielki;3167
Pyzdry;3164
Dobrzyca;3153
Krasnobrod;3138
slesin;3135
Bobowa;3123
Gozdnica;3100
Dobiegniew;3087
Michalowo;3073
Chorzele;3069
Wilamowice;3065
Miroslawiec;3065
Lubraniec;3052
Oleszyce;3041
Glinojeck;3027
Zagorow;3024
Zaklikow;3017
cmielow;3014
Uniejow;3011
Margonin;3011
Mielno;3000
Lwowek;2999
Niemcza;2981
lobzenica;2971
Kunow;2970
Polanow;2949
Bojanowo;2940
Baborow;2933
Recz;2930
Kaluszyn;2927
Drobin;2925
Daleszyce;2914
Sulmierzyce;2899
Wegliniec;2868
Ryn;2865
Wegorzyno;2865
Czarna Woda;2841
Poniec;2841
Ryglice;2831
Zloty Stok;2821
Nowe Miasteczko;2816
Kamiensk;2812
Rydzyna;2811
Pieniezno;2802
Wachock;2795
Knyszyn;2782
Radlow;2780
Cybinka;2755
Rozan;2755
Ksiaz Wielkopolski;2749
Jastarnia;2736
Nowy Wisnicz;2728
Tolkmicko;2719
Brzostek;2714
Dziwnow;2707
Wasosz;2688
Wysoka;2688
Golczewo;2686
Izbica Kujawska;2677
Lesnica;2668
Czyzew;2640
Wyszogrod;2634
Klecko;2631
Miedzylesie;2623
Czerniejewo;2620
Milakowo;2609
Kazimierz Dolny;2607
Bardo;2603
Proszkow;2603
Piaski;2598
Pelczyce;2597
Annopol;2572
Stoczek lukowski;2556
Pasym;2549
Torzym;2529
Borek Wielkopolski;2523
leknica;2500
Jozefow;2498
Koprzywnica;2497
Tychowo;2495
Stepnica;2478
Zabludow;2476
Ciezkowice;2470
Lubycza Krolewska;2469
Biala;2454
Gorzow slaski;2451
Milomlyn;2449
Trzciel;2445
Goscino;2436
Radkow;2427
Krynki;2424
Kozieglowy;2424
swiatniki Gorne;2422
Bisztynek;2417
Kamien Krajenski;2394
Frombork;2389
Czchow;2380
Rychwal;2379
Obrzycko;2378
Lipsk;2376
Miedzyborz;2362
Dobra;2353
Wolborz;2336
Czlopa;2326
Osieczna;2322
swierzawa;2315
Drawno;2307
Trzcinsko-Zdroj;2297
Wiazow;2296
Mogielnica;2294
Dobrzany;2288
Bodzentyn;2238
Prusice;2235
Stawiski;2229
Szepietowo;2209
Suchowola;2196
laszczow;2190
Nowogrod;2173
Bialy Bor;2171
Krzanowice;2168
Zalewo;2165
Dobrzyn nad Wisla;2161
Blaszki;2158
Blazowa;2148
Sieniawa;2146
Kisielice;2135
Tyszowce;2120
Kosow Lacki;2120
zerkow;2120
Narol;2102
Raszkow;2101
Dukla;2098
Pogorzela;2098
Ostrow Lubelski;2095
Rejowiec;2084
Lubniewice;2019
Dabie;2017
Drohiczyn;2011
Osiek;2004
Lubomierz;2002
Tykocin;1980
Sepopol;1970
Pilica;1967
Jutrosin;1966
Insko;1965
Szadek;1957
Brok;1955
Grabow nad Prosna;1941
Ostrorog;1941
Cieszanow;1940
Tuczno;1931
Nieszawa;1914
Chodecz;1885
Sosnicowice;1881
Biezun;1875
Mikstat;1866
Radzyn Chelminski;1851
Korfantow;1842
Goniadz;1827
Chocz;1811
Wlen;1806
Iwonicz-Zdroj;1798
Zawichost;1793
Mlynary;1792
Mordy;1780
Ujazd;1770
Wielichowo;1767
Przeclaw;1748
Morawica;1730
Krzywin;1714
Urzedow;1703
Przedecz;1690
Nowe Brzesko;1674
Zakliczyn;1656
Cedynia;1625
Jedwabne;1624
Moryn;1620
Rajgrod;1571
Dolsk;1569
Stawiszyn;1530
Suchan;1490
Baranow Sandomierski;1477
Modliborzyce;1469
Jaraczewo;1467
Kolaczyce;1434
Stopnica;1434
Frampol;1433
Siedliszcze;1418
Ulanow;1405
Gorzno;1403
Dobra;1396
Lubien Kujawski;1391
Krynica Morska;1302
Kleszczele;1297
Skalbmierz;1292
Szlichtyngowa;1289
Nowe Warpno;1196
Suraz;992
Dzialoszyce;913
Wysmierzyce;896
